Image,Description,Markings/Other
com-088.png,680p cap,Markings: WIMA 680/63
com-c-styrene.png,180p cap,
com-c001.png,10u NP cap (x4),
com-c002.png,220u cap (x2),
com-c003.png,22p cap (x4),
com-c004.png,.1u cap,Markings: BC104
com-c005.png,.1u cap (x2),
com-c008.png,100p cap,
com-c009.png,470p caps,Markings: 471
com-c010.png,47p caps,Markings: 47j
com-c013.png,3.3n cap (x2),
com-c014.png,.01u cap,Markings: 10n 250V BC
com-c019.png,1n cap (x4),
com-c021.png,4.7u cap (x2),
com-c022.png,100u cap,
com-c025.png,1000p cap,Markings: 1n
com-c028.png,100u cap,
com-c030.png,3300u cap,
com-c043.png,2200u cap (x4),
com-c047.png,22u tantalum cap (x2),Markings: 226F
com-c048.png,5000p cap,Markings: 5000J
com-c050.png,68n cap (x2),Markings: 2A683J
com-c055.png,.15u cap (x2),Markings: 2A154J
com-c057.png,82n cap,
com-c059.png,6.8u cap (x2),
com-c060.png,22u cap,
com-c061.png,.47u cap (x5),Markings: 474L
com-c062.png,4700p cap,Markings: WIMA 4700 100
com-c063.png,220p cap,Markings: WIMA 220 100
com-c065.png,150u cap,
com-c066.png,470u cap (x2),
com-c068.png,1000u cap,
com-c069.png,470u cap,
com-c074.png,100p cap,Markings: WIMA 100/100-
com-c087.png,150p cap,
com-c088.png,680p cap,Markings: WIMA 680/63
com-c089.png,330p cap,Markings: WIMA 330/63
com-c090.png,1500p cap,Markings: WIMA 1500
com-d002.png,1N914 diode (x2),
com-d005.png,1N4004 diode,Markings: 1N4004
com-d009.png,Red LED,
com-d010.png,9v zener diode,Markings: 1N4 739 A
com-d015.png,1N4148 diode (x4),
com-e-pot-single.png,A10k potentiometer,
com-e-pot-vertical.png,B50k pot (x2),Markings: B503
com-e-rotary.png,2x6 switch (x4),
com-e006.png,DPDT switch (x4),
com-e036.png,5k trimpot,
com-e037.png,50k trimpot (x2),Markings: W503
com-e038.png,DPDT switch (x3),
com-e039.png,12-position switch,
com-h001.png,Colour socket (x3),
com-h002.png,12-pin socket (x2),
com-h003-6.png,6-pin header,
com-h003.png,12-pin header (x2),
com-h009.png,IC socket (x2),
com-h010.png,DIP14 IC socket (x4),
com-h017.png,12-pin header (x2),
com-h021.png,4-pin header,
com-h029.png,6-pin socket,
com-h031.png,12-pin header,
com-h033.png,16-pin header,
com-h035.png,26-pin header,
com-h038.png,3-pin header,
com-h039.png,4-pin header,
com-h041.png,8-pin socket,
com-h042.png,8-pin header,
com-h043.png,8-pin header,
com-h044.png,8-pin header,
com-j007.png,3-pin XLR male jack (x2),
com-j008.png,3-pin XLR female jack (x2),
com-j010.png,TRS jack (x2),
com-j016.png,5-pin XLR male jack,
com-j017.png,5-pin XLR female jack,
com-j023.png,Board-to-board connector (x2),
com-j024.png,Combo jack (x2),
com-j027.png,TRS jack,
com-k007.png,Switch cap (x3),
com-k008.png,Skirted knob (x2),
com-k009.png,Non-skirted knob (x10),
com-k010.png,Lightpipe switch cap,
com-k014.png,Switch cap (x4),
com-k018.png,GAIN knob,
com-k019.png,TRIM knob,
com-l008.png,470u inductor (x3),
com-r-1.png,1R resistor (x4),
com-r-100k.png,100k resistor,
com-r-10k.png,10k resistor (x4),
com-r-1k.png,1k resistor (x2),
com-r-2.2k.png,2.2k resistor,
com-r-2.7k.png,2.7k resistor (x4),
com-r-4.7k.png,4.7k resistor (x5),
com-r-470k.png,470k resistor (x4),
com-r-47k.png,47k resistor,
com-r-68.png,68R resistor (x4),
com-t-to92-silver.png,BC337 transistor,
com-t-to92.png,BC327 transistor,
com-t001.png,LSK170 transistor,
com-t002.png,2N7000 transistor,Markings: 2N7000
com-t008.png,TIP3055 transistor (x2),
com-t015.png,LSK389 transistor (x2),
com-t020.png,BC109C transistor (x3),
com-t026.png,ZVP2106A transistor,
com-u-dip14.png,LF347N opamp (x2),
com-u-dip8.png,1256 line receiver (x2),
com-u001.png,Diode bridge,
com-u024.png,7812 regulator,
com-u025.png,7912 regulator,
com-x015.png,VTB9045 transformer,
com-z001.png,Self-resetting fuse,
com-z006.png,10k array (x4),
com-z008.png,DPDT relay,
com-z010.png,24V relay,
com-z011.png,PCB rail (x2),
com-z015.png,Transistor spacer (x3),
hw-c040.png,Nut plate (x2),
hw-n001.png,Nut,
hw-n004.png,TRIM nut,
hw-n005.png,Pot nut (x12),
hw-n006.png,3-48 Nut (x4),
hw-n007.png,Transformer nut (x2),
hw-s001.png,"4-40 screw 3/8"" (x2)",
hw-s005.png,Screw,
hw-s017.png,Transformer screw (x4),
hw-s021.png,3-48 Screw (x4),
hw-s022.png,XLR screw (x16),
hw-s024.png,Rack ear screw (x6),
hw-s025.png,Nut plate screw (x4),
hw-s026.png,Flat-head screw (x2),
hw-s027.png,Transformer screw (x2),
hw-s028.png,Transformer screw (x2),
hw-w002.png,Washer,
hw-w004.png,Pot washer (x12),
hw-y020.png,Standoff (x6),
hw-y021.png,Rubber foot (x5),
hw-y022.png,,
hw-y023.png,Quick-connect terminal (x4),
hw-y024.png,Quick-connect terminal (x2),
hw-y025.png,PRE 2 standoff,
hw-y026.png,GAIN standoff (x2),
hw-y027.png,Insulator pad,
hw-y028.png,Shoulder washer,
hw-y029.png,Heat sink,
pcb-082.png,2181C VCA PCB (x2),
